h5,label
0.499997_DM_714.50_beam_511C2020_04_13_00:48:33.fil.hdf5,0
0.500002_DM_49.12_beam_0C2020_03_28_14:42:57.fil.hdf5,1
0.500004_DM_462.83_beam_651C2020_04_13_01:05:30.fil.hdf5,0
0.5_DM_44.82_beam_0C2020_04_19_17:14:14.fil.hdf5,1
0.499997_DM_280.90_beam_0C2020_04_11_23:10:20.fil.hdf5,1
0.500002_DM_75.83_beam_0C2020_02_14_05:16:04.fil.hdf5,1
0.500003_DM_238.85_beam_0C2020_04_11_21:26:39.fil.hdf5,1
0.500002_DM_178.06_beam_0C2020_03_30_01:45:23.fil.hdf5,1
0.500001_DM_26.09_beam_0C2020_04_13_10:13:26.fil.hdf5,1
0.500003_DM_340.46_beam_0C2020_03_15_19:06:34.fil.hdf5,1
0.782575_DM_61.09_beam_16C2020_04_27_17:58:16.fil.hdf5,0
0.500002_DM_76.14_beam_0C2020_03_15_23:07:15.fil.hdf5,1
0.499997_DM_470.47_beam_197C2020_05_31_18:22:22.fil.hdf5,0
0.499996_DM_49.12_beam_0C2020_03_28_15:02:21.fil.hdf5,1
0.5_DM_145.82_beam_0C2020_04_07_03:50:11.fil.hdf5,1
0.500003_DM_793.94_beam_243C2020_04_27_17:57:38.fil.hdf5,0
0.499999_DM_401.54_beam_0C2020_02_03_05:50:29.fil.hdf5,1
0.499999_DM_201.70_beam_6C2020_04_08_23:01:34.fil.hdf5,0
0.500003_DM_749.06_beam_362C2020_01_12_23:54:02.fil.hdf5,0
0.500003_DM_175.60_beam_0C2020_04_07_03:01:22.fil.hdf5,1
0.499998_DM_49.12_beam_0C2020_03_28_15:18:56.fil.hdf5,1
0.499999_DM_221.04_beam_0C2020_04_11_23:45:28.fil.hdf5,1
0.500004_DM_177.14_beam_0C2020_03_15_17:58:02.fil.hdf5,1
0.5_DM_27.32_beam_0C2020_04_13_10:02:55.fil.hdf5,1
0.788478_DM_105.61_beam_0C2020_04_14_04:28:40.fil.hdf5,1
0.500002_DM_316.52_beam_0C2020_04_12_02:19:56.fil.hdf5,1
0.500004_DM_58.94_beam_5C2020_02_16_06:38:35.fil.hdf5,0
0.499999_DM_205.38_beam_0C2020_03_15_16:12:44.fil.hdf5,1
0.499997_DM_29.16_beam_0C2020_04_13_09:28:44.fil.hdf5,1
0.504292_DM_37.15_beam_0I2020_05_24_23:20:55.fil.hdf5,0
0.011023_DM_147.67_beam_8C2020_02_02_08:02:19.fil.hdf5,0
0.649446_DM_901.01_beam_176C2020_01_12_22:27:32.fil.hdf5,0
0.499999_DM_21.49_beam_200C2020_05_31_18:24:10.fil.hdf5,0
0.499999_DM_281.83_beam_0C2020_04_11_23:10:41.fil.hdf5,1
0.5_DM_157.49_beam_0C2020_04_12_01:18:34.fil.hdf5,1
0.499997_DM_177.14_beam_0C2020_03_30_02:36:31.fil.hdf5,1
0.500003_DM_178.37_beam_0C2020_03_15_17:44:34.fil.hdf5,1
0.499997_DM_1530.21_beam_11C2020_02_14_05:16:21.fil.hdf5,0
0.5_DM_151.04_beam_20C2020_04_27_02:19:46.fil.hdf5,0
0.499997_DM_280.60_beam_0C2020_03_15_22:11:21.fil.hdf5,1
0.500002_DM_158.41_beam_0C2020_04_12_01:25:55.fil.hdf5,1
0.500002_DM_100.39_beam_0C2020_04_07_01:40:58.fil.hdf5,1
0.499999_DM_452.40_beam_0C2020_04_19_18:26:56.fil.hdf5,1
0.500002_DM_27.02_beam_744C2020_04_23_23:04:56.fil.hdf5,0
0.499998_DM_1530.21_beam_360C2020_01_12_23:54:10.fil.hdf5,0
0.677561_DM_75.83_beam_0C2020_02_27_23:56:38.fil.hdf5,1
0.499997_DM_46.05_beam_0C2020_04_19_17:11:52.fil.hdf5,1
0.500002_DM_31.31_beam_395C2020_04_27_17:58:42.fil.hdf5,0
0.5_DM_254.50_beam_0C2020_04_19_17:04:28.fil.hdf5,1
0.499996_DM_49.12_beam_0C2020_03_28_15:23:11.fil.hdf5,1
0.499998_DM_25.17_beam_0C2020_04_13_10:17:12.fil.hdf5,1
0.500001_DM_31.62_beam_166C2019_12_06_15:48:17.fil.hdf5,0
0.499998_DM_156.88_beam_0C2020_04_12_01:21:25.fil.hdf5,1
0.906688_DM_121.27_beam_272C2020_04_13_00:48:33.fil.hdf5,0
0.093098_DM_381.33_beam_501C2020_04_13_01:04:24.fil.hdf5,0
0.500002_DM_295.03_beam_0C2020_04_19_20:12:10.fil.hdf5,1
0.500003_DM_1441.59_beam_11C2020_02_04_03:07:35.fil.hdf5,0
0.500002_DM_167.62_beam_569C2019_12_06_15:26:26.fil.hdf5,0
0.499999_DM_26.09_beam_0C2020_04_13_10:06:55.fil.hdf5,1
0.499996_DM_29.47_beam_396C2020_04_23_23:10:13.fil.hdf5,0
0.499997_DM_220.73_beam_0C2020_04_11_23:18:14.fil.hdf5,1
0.500004_DM_502.60_beam_0C2020_03_15_20:10:25.fil.hdf5,1
0.5_DM_34.38_beam_654C2019_12_06_15:48:17.fil.hdf5,0
0.499997_DM_49.12_beam_0C2020_03_28_14:56:54.fil.hdf5,1
0.499999_DM_180.21_beam_0C2020_04_11_20:53:41.fil.hdf5,1
0.757242_DM_1087.11_beam_190C2020_04_23_23:09:37.fil.hdf5,0
0.499999_DM_391.11_beam_46C2020_04_13_00:46:09.fil.hdf5,0
0.500004_DM_435.91_beam_608C2020_04_27_17:58:16.fil.hdf5,0
0.5_DM_280.60_beam_0C2020_04_11_23:08:01.fil.hdf5,1
0.504443_DM_113.28_beam_0I2020_01_12_23:26:17_1.fil.hdf5,0
0.499998_DM_70.61_beam_746C2020_04_23_23:08:22.fil.hdf5,0
0.499999_DM_164.55_beam_0C2020_04_12_00:10:17.fil.hdf5,1
0.5_DM_318.05_beam_0C2020_04_12_02:29:16.fil.hdf5,1
0.500003_DM_177.14_beam_0C2020_04_13_07:59:07.fil.hdf5,1
0.499999_DM_25.79_beam_599C2020_04_22_16:43:36.fil.hdf5,0
0.499999_DM_175.91_beam_0C2020_04_07_03:14:26.fil.hdf5,1
0.5_DM_51.27_beam_428C2019_12_06_15:48:36.fil.hdf5,0
0.500001_DM_272.62_beam_0C2020_04_19_17:58:45.fil.hdf5,1
0.499998_DM_57.10_beam_0C2020_03_30_04:02:51.fil.hdf5,1
0.5_DM_64.47_beam_0C2020_03_20_02:54:45.fil.hdf5,1
0.500004_DM_281.52_beam_0C2020_04_11_23:03:40.fil.hdf5,1
0.500002_DM_87.50_beam_0C2020_04_07_02:17:10.fil.hdf5,1
0.499999_DM_178.06_beam_0C2020_03_15_17:44:17.fil.hdf5,1
0.661695_DM_657.59_beam_196C2020_05_31_18:21:02.fil.hdf5,0
0.041187_DM_326.34_beam_0I2020_01_12_23:56:27.fil.hdf5,0
0.500004_DM_55.57_beam_5C2020_02_02_06:33:40.fil.hdf5,0
0.500002_DM_75.83_beam_0C2020_02_27_23:55:51.fil.hdf5,1
0.500003_DM_23.33_beam_0C2020_04_13_08:17:07.fil.hdf5,1
0.499999_DM_166.39_beam_0C2020_03_23_03:07:03.fil.hdf5,1
0.499996_DM_45.74_beam_555C2020_04_23_23:00:33.fil.hdf5,0
0.499997_DM_59.87_beam_10C2020_02_04_01:24:09.fil.hdf5,0
0.495651_DM_54.03_beam_4C2020_02_02_04:26:38.fil.hdf5,0
0.500002_DM_23.02_beam_0C2020_04_13_08:18:38.fil.hdf5,1
0.500003_DM_102.54_beam_0C2020_04_07_01:41:27.fil.hdf5,1
0.500002_DM_163.32_beam_0C2020_04_12_00:20:58.fil.hdf5,1
0.500002_DM_25.17_beam_0C2020_04_13_10:07:17.fil.hdf5,1
0.500002_DM_49.12_beam_0C2020_03_28_15:13:39.fil.hdf5,1
0.551446_DM_1076.99_beam_409C2019_12_18_08:44:30.fil.hdf5,0
0.499997_DM_309.46_beam_0C2020_04_19_17:58:09.fil.hdf5,1
0.5_DM_23.33_beam_0C2020_04_13_08:17:27.fil.hdf5,1
0.500001_DM_32.54_beam_429C2020_04_23_23:00:49.fil.hdf5,0
0.499999_DM_490.22_beam_3C2020_02_21_22:08:09.fil.hdf5,0
0.06927_DM_27.63_beam_0C2020_04_19_16:42:26.fil.hdf5,1
0.56125_DM_41.75_beam_0C2020_04_13_08:57:00.fil.hdf5,1
0.499997_DM_2832.70_beam_3C2020_02_14_04:35:17.fil.hdf5,0
0.812673_DM_373.31_beam_0I2020_01_12_23:54:00.fil.hdf5,0
0.624943_DM_538.46_beam_379C2020_01_12_22:27:33.fil.hdf5,0
0.500001_DM_49.12_beam_0C2020_03_20_20:45:02.fil.hdf5,1
0.500004_DM_49.12_beam_0C2020_03_20_21:03:46.fil.hdf5,1
0.499998_DM_502.60_beam_0C2020_03_15_20:23:05.fil.hdf5,1
0.499997_DM_54.34_beam_0C2020_02_04_00:28:02.fil.hdf5,0
0.499999_DM_57.41_beam_0C2020_02_02_11:10:42.fil.hdf5,0
0.500003_DM_192.18_beam_0C2020_04_14_01:35:39.fil.hdf5,1
0.500001_DM_505.86_beam_0C2020_02_03_05:54:55.fil.hdf5,1
0.5_DM_34.69_beam_98C2020_04_22_15:26:31.fil.hdf5,0
0.5_DM_163.63_beam_0C2020_03_23_03:04:37.fil.hdf5,1
0.790112_DM_50.04_beam_177C2019_12_06_15:48:46.fil.hdf5,0
0.014702_DM_253.58_beam_3C2020_02_02_09:13:17.fil.hdf5,0
0.499997_DM_61.40_beam_0C2020_04_19_16:58:45.fil.hdf5,1
0.963568_DM_49.12_beam_0C2020_03_28_15:01:54.fil.hdf5,1
0.499997_DM_56.49_beam_421C2019_12_06_15:45:19_1.fil.hdf5,0
0.254793_DM_25.17_beam_0C2020_04_19_17:24:01.fil.hdf5,0
0.193453_DM_75.83_beam_0C2020_04_07_06:05:37.fil.hdf5,1
0.500003_DM_53.11_beam_523C2020_04_23_23:09:25.fil.hdf5,0
0.499999_DM_142.14_beam_0C2020_03_15_15:21:44.fil.hdf5,1
0.500002_DM_49.12_beam_0C2020_03_28_12:32:28.fil.hdf5,1
0.499999_DM_49.12_beam_0C2020_03_28_15:12:38.fil.hdf5,1
0.5_DM_25.48_beam_84C2020_04_23_23:00:17.fil.hdf5,0
0.499995_DM_36.84_beam_45C2020_04_22_16:43:42.fil.hdf5,0
0.5_DM_29.16_beam_598C2020_04_23_23:00:49.fil.hdf5,0
0.240555_DM_159.64_beam_0I2020_01_12_23:31:00.fil.hdf5,0
0.499997_DM_75.83_beam_0C2020_04_07_01:16:17.fil.hdf5,1
0.499996_DM_242.22_beam_0C2020_04_12_04:24:19.fil.hdf5,1
0.500003_DM_93.02_beam_0I2020_01_12_23:32:55.fil.hdf5,0
0.5_DM_25.17_beam_71C2020_04_23_23:00:55.fil.hdf5,0
0.500002_DM_32.54_beam_746C2020_04_23_23:10:13.fil.hdf5,0
0.500002_DM_237.62_beam_0C2020_04_11_21:35:12.fil.hdf5,1
0.500003_DM_49.12_beam_0C2020_03_20_21:51:25.fil.hdf5,1
0.891285_DM_778.75_beam_155C2020_05_30_10:19:01.fil.hdf5,0
0.500003_DM_24.25_beam_0C2020_04_13_10:13:07.fil.hdf5,1
0.500004_DM_179.59_beam_0C2020_04_07_03:10:12.fil.hdf5,1
0.499997_DM_24.56_beam_0C2020_04_13_10:02:35.fil.hdf5,1
0.499995_DM_164.55_beam_0C2020_04_11_23:55:40.fil.hdf5,1
0.500001_DM_46.36_beam_4C2019_12_06_15:27:21.fil.hdf5,0
0.500002_DM_31.93_beam_0C2020_04_19_15:53:08.fil.hdf5,1
0.500002_DM_56.18_beam_10C2020_02_02_04:25:05.fil.hdf5,0
0.499997_DM_31.01_beam_157C2019_12_06_15:43:11.fil.hdf5,0
0.825077_DM_52.19_beam_556C2020_04_13_03:30:36.fil.hdf5,0
0.499998_DM_3029.19_beam_11C2020_05_31_19:53:59.fil.hdf5,0
0.499999_DM_62.63_beam_11C2020_02_16_01:11:09.fil.hdf5,0
0.814188_DM_1163.61_beam_250C2020_04_27_17:56:12.fil.hdf5,0
0.5_DM_32.85_beam_133C2020_04_23_23:03:55.fil.hdf5,0
0.500001_DM_75.83_beam_0C2020_02_27_23:56:21.fil.hdf5,1
0.500002_DM_30.70_beam_0C2020_04_13_08:49:29.fil.hdf5,1
0.500002_DM_37.76_beam_425C2019_12_06_15:48:17.fil.hdf5,0
0.5_DM_493.94_beam_194C2020_05_31_18:20:10.fil.hdf5,0
0.499997_DM_105.92_beam_0C2020_04_14_04:28:06.fil.hdf5,1
0.499996_DM_56.49_beam_0C2020_03_30_04:02:11.fil.hdf5,1
0.500002_DM_1520.09_beam_6C2020_02_04_03:06:12.fil.hdf5,0
0.499997_DM_117.58_beam_0C2020_04_11_20:35:53.fil.hdf5,1
0.499997_DM_161.48_beam_0C2020_03_23_03:05:31.fil.hdf5,1
0.387096_DM_44.52_beam_335C2020_04_12_03:33:42.fil.hdf5,0
0.5_DM_772.99_beam_365C2020_05_31_18:21:12.fil.hdf5,0
0.500003_DM_157.18_beam_0C2020_04_12_01:31:39.fil.hdf5,1
0.500002_DM_402.20_beam_0C2020_02_02_11:30:20.fil.hdf5,1
0.500004_DM_164.86_beam_0C2020_03_23_03:05:09.fil.hdf5,1
0.499999_DM_235.16_beam_0C2020_04_12_02:54:14.fil.hdf5,1
0.499999_DM_281.21_beam_0C2020_03_15_22:15:34.fil.hdf5,1
0.499999_DM_238.85_beam_0C2020_04_11_21:26:00.fil.hdf5,1
0.360142_DM_341.08_beam_0C2020_03_15_19:11:08.fil.hdf5,1
0.499998_DM_163.32_beam_9C2020_04_27_02:19:46.fil.hdf5,0
0.499995_DM_55.87_beam_2C2020_04_07_04:54:57.fil.hdf5,0
0.500004_DM_40.22_beam_431C2019_12_06_15:45:15.fil.hdf5,0
0.5_DM_247.13_beam_0I2020_04_13_01:08:41.fil.hdf5,0
0.082076_DM_1830.97_beam_202C2020_05_31_18:20:44.fil.hdf5,0
0.066151_DM_1215.52_beam_223C2020_05_25_02:11:06.fil.hdf5,0
0.499997_DM_238.23_beam_0C2020_04_11_21:23:47.fil.hdf5,1
0.5_DM_22.10_beam_0C2020_04_19_19:17:36.fil.hdf5,0
0.051451_DM_799.00_beam_486C2020_05_31_19:47:03.fil.hdf5,0
0.566763_DM_386.55_beam_4C2020_02_14_05:15:47.fil.hdf5,0
0.5_DM_49.12_beam_0C2020_03_28_12:41:46.fil.hdf5,1
0.5_DM_608.88_beam_2C2020_02_02_05:47:50.fil.hdf5,0
0.499999_DM_255.12_beam_0C2020_04_19_17:04:57.fil.hdf5,1
0.499998_DM_51.27_beam_6C2020_02_03_22:58:41.fil.hdf5,0
0.500003_DM_56.49_beam_0C2020_03_30_03:56:35.fil.hdf5,1
0.500004_DM_23.33_beam_0C2020_04_13_02:00:31.fil.hdf5,0
0.624332_DM_177.14_beam_0I2020_01_12_23:34:31.fil.hdf5,0
0.629696_DM_54.95_beam_6C2020_02_21_20:25:59.fil.hdf5,0
0.499998_DM_24.56_beam_0C2020_04_13_10:03:08.fil.hdf5,1
0.5_DM_49.12_beam_0C2020_03_28_13:01:42.fil.hdf5,1
0.500003_DM_42.06_beam_0C2020_04_07_01:25:29.fil.hdf5,1
0.5_DM_148.59_beam_0C2020_04_12_02:38:25.fil.hdf5,1
0.491218_DM_388.50_beam_3C2020_03_18_04:46:44.fil.hdf5,0
0.688642_DM_1469.45_beam_744C2020_01_02_15:33:12.fil.hdf5,0
0.912814_DM_62.01_beam_1C2020_02_02_04:25:05.fil.hdf5,0
0.499997_DM_114.82_beam_0C2020_04_12_03:51:00.fil.hdf5,1
0.5_DM_38.68_beam_385C2020_04_27_02:18:43.fil.hdf5,0
0.812674_DM_247.44_beam_0I2020_01_12_23:48:00.fil.hdf5,0
0.499998_DM_281.52_beam_0C2020_04_11_23:08:21.fil.hdf5,1
0.009798_DM_305.16_beam_428C2020_01_12_22:22:58.fil.hdf5,0
0.500002_DM_174.99_beam_0C2020_04_07_03:00:40.fil.hdf5,1
0.5_DM_29.47_beam_0C2020_04_13_08:35:52.fil.hdf5,1
0.745297_DM_93.94_beam_0C2020_04_19_18:42:21.fil.hdf5,1
0.500002_DM_188.81_beam_0C2020_03_23_02:53:35.fil.hdf5,1
0.499996_DM_37.45_beam_335C2019_12_06_15:48:17.fil.hdf5,0
0.751122_DM_1468.18_beam_433C2020_01_02_15:33:12.fil.hdf5,0
0.499999_DM_164.25_beam_0C2020_04_12_00:13:00.fil.hdf5,1
0.500002_DM_1530.21_beam_553C2020_01_12_23:54:10.fil.hdf5,0
0.5_DM_241.61_beam_0C2020_04_12_04:40:59.fil.hdf5,1
0.499996_DM_329.10_beam_0I2020_01_12_23:53:22.fil.hdf5,0
0.499997_DM_53.73_beam_9C2020_03_18_04:14:02.fil.hdf5,0
0.500004_DM_49.12_beam_0C2020_03_28_15:23:06.fil.hdf5,1
0.499999_DM_358.88_beam_65C2020_04_13_07:12:41.fil.hdf5,0
0.500004_DM_54.34_beam_1C2020_02_02_04:26:15.fil.hdf5,0
0.499996_DM_660.39_beam_72C2020_01_12_23:23:42.fil.hdf5,0
0.500002_DM_174.99_beam_0C2020_04_19_19:30:19.fil.hdf5,1
0.500002_DM_76.14_beam_0C2020_04_07_06:05:56.fil.hdf5,1
0.794914_DM_49.12_beam_0C2020_03_20_21:03:12.fil.hdf5,1
0.499999_DM_49.12_beam_0C2020_03_20_21:29:53.fil.hdf5,1
0.500003_DM_96.40_beam_0C2020_04_14_05:20:23.fil.hdf5,1
0.517456_DM_27.32_beam_420C2020_04_13_01:35:38.fil.hdf5,0
0.500001_DM_49.12_beam_0C2020_03_20_21:20:21.fil.hdf5,1
0.499998_DM_252.97_beam_0I2020_01_12_23:59:10_1.fil.hdf5,0
0.666592_DM_380.37_beam_443C2020_01_20_10:27:38.fil.hdf5,0
0.238254_DM_83.81_beam_0C2020_04_19_16:02:48.fil.hdf5,1
0.5_DM_27.32_beam_366C2020_04_27_02:24:36.fil.hdf5,0
0.499999_DM_22.72_beam_4C2020_03_23_03:08:10.fil.hdf5,0
0.32355_DM_128.33_beam_0I2020_01_12_23:44:36.fil.hdf5,0
0.499997_DM_49.12_beam_0C2020_03_28_14:58:58.fil.hdf5,1
0.499999_DM_69.69_beam_4C2020_02_02_04:24:18.fil.hdf5,0
0.500004_DM_146.75_beam_0C2020_03_15_15:29:51.fil.hdf5,1
0.499996_DM_221.04_beam_0C2020_04_11_23:18:59.fil.hdf5,1
0.500004_DM_33.77_beam_0C2020_04_13_09:15:43.fil.hdf5,1
0.499995_DM_144.29_beam_0C2020_04_07_04:12:50.fil.hdf5,1
0.874228_DM_58.33_beam_553C2020_04_13_03:30:36.fil.hdf5,0
0.5_DM_57.72_beam_3C2020_02_02_05:54:01.fil.hdf5,0
0.500004_DM_58.94_beam_1C2020_02_16_06:38:34.fil.hdf5,0
0.017976_DM_273.54_beam_0I2020_01_12_23:59:29.fil.hdf5,0
0.500002_DM_767.97_beam_437C2020_04_13_00:48:33.fil.hdf5,0
0.499997_DM_25.17_beam_0C2020_04_13_10:10:28.fil.hdf5,1
0.500002_DM_42.98_beam_0C2020_04_07_01:38:03_1.fil.hdf5,0
0.5_DM_380.68_beam_401C2020_04_23_23:05:05.fil.hdf5,0
0.750963_DM_78.28_beam_0C2020_04_19_16:37:50.fil.hdf5,1
0.5_DM_32.23_beam_430C2019_12_06_15:48:46.fil.hdf5,0
0.500003_DM_101.92_beam_0C2020_04_19_19:37:04.fil.hdf5,1
0.500002_DM_205.08_beam_0C2020_03_15_16:08:39.fil.hdf5,1
0.499999_DM_282.13_beam_0C2020_04_11_23:05:06.fil.hdf5,1
0.500001_DM_2980.90_beam_1C2020_02_02_11:02:50.fil.hdf5,0
0.500004_DM_24.87_beam_0C2020_04_13_10:04:20.fil.hdf5,1
0.500002_DM_64.78_beam_6C2020_02_16_06:38:34.fil.hdf5,0
0.500004_DM_173.46_beam_0C2020_04_19_19:44:15.fil.hdf5,1
0.281739_DM_56.49_beam_0C2020_03_30_04:02:24.fil.hdf5,1
0.499999_DM_74.60_beam_11C2020_04_09_07:36:26.fil.hdf5,0
0.500002_DM_100.70_beam_0C2020_04_07_01:45:19.fil.hdf5,1
0.499997_DM_748.41_beam_3C2020_02_02_03:00:30.fil.hdf5,0
0.499997_DM_402.85_beam_0C2020_02_03_05:43:41.fil.hdf5,1
0.500002_DM_75.83_beam_0C2020_02_27_23:55:36_1.fil.hdf5,1
0.499997_DM_31.93_beam_0C2020_04_11_22:28:43.fil.hdf5,1
0.499997_DM_41.75_beam_3C2020_04_07_01:28:10.fil.hdf5,1
0.074726_DM_60.48_beam_5C2020_02_02_04:04:46.fil.hdf5,0
0.833806_DM_73.99_beam_0C2020_04_19_17:02:19.fil.hdf5,1
0.5_DM_281.83_beam_0C2020_04_11_23:00:02.fil.hdf5,1
0.499999_DM_187.58_beam_0I2020_01_12_23:51:08.fil.hdf5,0
0.500001_DM_622.57_beam_0C2020_02_21_19:33:04.fil.hdf5,1
0.022047_DM_132.32_beam_0C2020_04_12_01:32:27.fil.hdf5,1
0.499999_DM_402.85_beam_0C2020_02_02_11:27:21.fil.hdf5,1
0.505207_DM_243.45_beam_0I2020_05_24_23:20:03.fil.hdf5,0
0.500002_DM_31.62_beam_0C2020_04_11_22:45:46.fil.hdf5,1
0.558795_DM_255.12_beam_82C2020_04_13_00:46:05.fil.hdf5,0
0.500004_DM_1263.63_beam_555C2020_04_27_17:56:12.fil.hdf5,0
0.499997_DM_369.32_beam_23C2020_04_27_02:19:46.fil.hdf5,0
0.514486_DM_380.68_beam_1C2020_03_18_04:46:44.fil.hdf5,0
0.499997_DM_177.14_beam_0C2020_04_13_07:59:21.fil.hdf5,1
0.499997_DM_177.14_beam_0C2020_03_15_17:59:10.fil.hdf5,1
0.499996_DM_51.88_beam_127C2019_12_06_15:27:20_1.fil.hdf5,0
0.150884_DM_97.32_beam_8C2020_04_07_01:49:40_1.fil.hdf5,0
0.499999_DM_440.66_beam_219C2020_04_13_07:12:41.fil.hdf5,0
0.499997_DM_32.54_beam_0C2020_04_13_08:56:46.fil.hdf5,1
0.500002_DM_59.56_beam_11C2020_02_21_20:15:18.fil.hdf5,0
0.500002_DM_280.60_beam_0C2020_03_15_22:33:48.fil.hdf5,1
0.500001_DM_88.11_beam_0C2020_04_07_02:19:20.fil.hdf5,1
0.499998_DM_25.79_beam_0C2020_04_13_10:03:42.fil.hdf5,1
0.500002_DM_52.19_beam_10C2020_02_02_05:57:45.fil.hdf5,0
0.500002_DM_238.23_beam_0C2020_04_11_21:24:48.fil.hdf5,1
0.499998_DM_21.49_beam_2C2020_05_31_18:26:16.fil.hdf5,0
0.500002_DM_70.61_beam_11C2020_02_02_05:54:36.fil.hdf5,0
0.075944_DM_3041.75_beam_239C2020_05_25_02:11:06.fil.hdf5,0
0.500001_DM_49.12_beam_0C2020_03_28_15:08:27.fil.hdf5,1
0.651743_DM_66.93_beam_9C2020_02_02_05:44:46.fil.hdf5,0
0.902407_DM_23.33_beam_0C2020_03_30_03:30:19.fil.hdf5,0
0.5_DM_75.83_beam_0C2020_04_14_01:26:55.fil.hdf5,1
0.499998_DM_281.52_beam_0C2020_04_11_23:03:59.fil.hdf5,1
0.500004_DM_292.57_beam_0C2020_04_19_20:29:54.fil.hdf5,1
0.5_DM_172.53_beam_0C2020_04_07_02:52:04.fil.hdf5,1
0.936698_DM_999.76_beam_248C2019_12_18_08:44:32.fil.hdf5,0
0.187324_DM_53.42_beam_3C2020_02_02_08:04:43.fil.hdf5,0
0.500004_DM_253.89_beam_2C2020_02_03_22:13:21.fil.hdf5,0
0.499998_DM_238.54_beam_0C2020_04_11_21:27:45.fil.hdf5,1
0.499997_DM_23.33_beam_0C2020_04_13_08:24:46.fil.hdf5,1
0.500001_DM_75.83_beam_0C2020_04_07_06:04:54.fil.hdf5,1
0.500003_DM_341.38_beam_0C2020_03_15_18:55:18.fil.hdf5,1
